strategy,total_return,CAGR,vol,sharpe,max_drawdown,win_rate
momentum_12_1,812.7465475743589,0.2908499952264805,0.30961473066709055,0.9805109887654552,-0.6745608726303475,0.54724111866969
quality,259.62670767166287,0.23605790360401313,0.2533440930130385,0.9634221692328864,-0.5660254050534447,0.5534391534391534
momentum_voltarget,105.67664332190066,0.19470253290628925,0.21934542292033687,0.9212328876448326,-0.6531136878100056,0.546485260770975
momentum,320.7811602948317,0.24602317123453665,0.2950703371761137,0.8939789544636593,-0.7068406441004804,0.5467876039304611
momentum_quality_voltarget,27.949307372734378,0.13679316672718267,0.15885305360464028,0.8868502742415572,-0.4084544495852881,0.5417989417989418
momentum_quality,222.99006819164532,0.22894521870347062,0.27992526681830004,0.8771270731598754,-0.6169250648187765,0.5421012849584278
sector_neutral_mom_vt,15.352424933881814,0.11232500819316327,0.14657199297199544,0.7999067943886911,-0.42175892401807413,0.5428571428571428
risk_parity,9.692101012864779,0.09446632113768527,0.12670353560550146,0.7760203033269543,-0.41413819087599657,0.544368858654573
sector_neutral_mom,31.15402429533914,0.1413490691907704,0.202627802726898,0.7543358714930882,-0.583988081219761,0.5439153439153439
low_vol,9.254776869623587,0.0927264986595715,0.13005845958933668,0.7469827210092572,-0.4068029537985991,0.5399848828420257
dual_ma,12.597930311325868,0.10453610496458787,0.1812129203713345,0.6398044305503608,-0.6277331698434768,0.5476946334089191
multi_factor,17.470534212521045,0.11749821072540878,0.21726367884813153,0.6204999898493334,-0.5584625873896395,0.5439153439153439
BENCH_SPY,6.784056497623387,0.08131120655180957,0.19341180851065984,0.5009723445160974,-0.5518944508011113,0.544822373393802
mean_reversion,17.833944676723185,0.11832798296619207,0.3748554041657538,0.48567464775380037,-0.7386602770794248,0.5186696900982616
